hour,minute,3std
0,0,0.7250542562002824
0,1,0.7575055363488741
0,2,0.8450230098909968
0,3,0.7608086355392222
0,4,0.7609638272666297
0,5,0.8016167765657505
0,6,0.8815427287911192
0,7,0.977096674980759
0,8,0.9158295907836891
0,9,0.844265428497267
0,10,0.9284959241023718
0,11,0.9396454024467011
0,12,0.7992386219300398
0,13,0.794304587839533
0,14,0.8266485698395162
0,15,0.7950993198354807
0,16,0.8037726853909725
0,17,0.8105531263380451
0,18,0.8005297338592515
0,19,0.9101657137004338
0,20,0.8002765533366012
0,21,0.8278595101923252
0,22,0.8254184050770024
0,23,0.8133530007779777
0,24,0.8225561705116743
0,25,0.7329200407317915
0,26,0.708553559634203
0,27,0.7839933123263967
0,28,0.7594279285282494
0,29,0.7295870844534397
0,30,0.7493464053134276
0,31,0.8473365426901458
0,32,0.8729338282597214
0,33,0.8276682482955646
0,34,0.8074027274080886
0,35,0.8527904541363874
0,36,0.8207418597097005
0,37,0.8151666035017175
0,38,0.7760424595848019
0,39,0.7606682031917501
0,40,0.8723164066629538
0,41,0.9399111754152569
0,42,0.8788993549004867
0,43,0.8187954755617257
0,44,0.7662370061278518
0,45,0.7809263242886145
0,46,0.8685438175577642
0,47,0.8110073566740585
0,48,0.8482742032698256
0,49,0.7996584359208844
0,50,0.7696979569133836
0,51,0.8102303618616413
0,52,0.8112244448551285
0,53,0.7947058392261386
0,54,0.8257331843348363
0,55,0.7159164847599434
0,56,0.7315719137829678
0,57,0.7820176917357056
0,58,0.7707796653981975
0,59,0.805270289404621
1,0,0.7732837228593019
1,1,0.7437944610633862
1,2,0.7908894599710199
1,3,0.7835997234066632
1,4,0.791944496557712
1,5,0.8053430211918324
1,6,0.8959863650677182
1,7,0.9214345680446747
1,8,0.930886804557328
1,9,0.841164744877485
1,10,0.8627947903293037
1,11,0.8930457162142278
1,12,0.8871417522638008
1,13,0.8181298086262028
1,14,0.8212847517201267
1,15,0.8001699384039729
1,16,0.8103405165370374
1,17,0.822418046675144
1,18,0.7771706834796354
1,19,0.8120215574806887
1,20,0.775997697229406
1,21,0.8354608715477261
1,22,0.8491386386693115
1,23,0.9224319643232676
1,24,0.9363771447084437
1,25,0.9423633423315134
1,26,0.9204007590862514
1,27,0.8149192413463984
1,28,0.8376028630589691
1,29,0.8272697395930196
1,30,0.8362161247372901
1,31,0.7909662158234378
1,32,0.7762030625924288
1,33,0.8545818329339719
1,34,0.8781661194664474
1,35,0.8193032944711893
1,36,0.8398106220220434
1,37,0.840017382786546
1,38,0.8415318912971992
1,39,0.8094042968587012
1,40,0.8239947076613289
1,41,0.792380576962147
1,42,0.8265009663791378
1,43,0.8807898432207644
1,44,0.8461890123738411
1,45,0.8710023576622911
1,46,0.8742745559309082
1,47,0.8706086956319168
1,48,0.9060241601575111
1,49,0.8865528695581122
1,50,0.8509742418847858
1,51,0.8095745627813973
1,52,0.7272456146187307
1,53,0.7337779599673193
1,54,0.8076371536284477
1,55,0.7981747667529422
1,56,0.8417317801292423
1,57,0.8571032853900546
1,58,0.7753855544432221
1,59,0.8072156250435983
2,0,0.8104566659466295
2,1,0.8357656451183827
2,2,0.8298144692505998
2,3,0.7876500847987569
2,4,0.7459200195842973
2,5,0.7548619548477692
2,6,0.8023284390321221
2,7,0.8739417280236057
2,8,0.8271455052631993
2,9,0.8092694754038521
2,10,0.8596887577571539
2,11,0.8563485644071729
2,12,0.8400046989535959
2,13,0.7895928757274115
2,14,0.8402022785552634
2,15,0.8222453052483749
2,16,0.873421989955762
2,17,0.8681867847211481
2,18,0.8378168889498365
2,19,0.8146859039660159
2,20,0.8283025062080287
2,21,0.8184751036069087
2,22,0.7702156759150018
2,23,0.8469968682267206
2,24,0.8197095758768349
2,25,0.7742572493489481
2,26,0.83320720100386
2,27,0.9036231534197768
2,28,0.8664927415710162
2,29,0.8558232403561176
2,30,0.8186610612863812
2,31,0.8618278888127933
2,32,0.8493668302675234
2,33,0.8646063835579854
2,34,0.8605860721559693
2,35,0.8476273813747102
2,36,0.8988121464363625
2,37,0.8215683315732929
2,38,0.7977060695272793
2,39,0.7566110008835907
2,40,0.7195898196466721
2,41,0.8035011058122661
2,42,0.7721443710434004
