timestamp,count
1519830000,193385
1519833600,4074323
1519837200,2924892
1519840800,2102938
1519844400,1493131
1519848000,1157980
1519851600,986536
1519855200,1218985
1519858800,1933382
1519862400,2254925
1519866000,2204287
1519869600,2179440
1519873200,1997942
1519876800,2191719
1519880400,2046921
1519884000,1890981
1519887600,1941348
1519891200,2182300
1519894800,2412004
1519898400,2659749
1519902000,3085730
1519905600,3790483
1519909200,4671879
1519912800,5019447
1519916400,4933901
1519920000,4141589
1519923600,2969081
1519927200,2183579
1519930800,1635682
1519934400,1240585
1519938000,1081419
1519941600,1332471
1519945200,2054919
1519948800,2295521
1519952400,2350967
1519956000,2351183
1519959600,2173004
1519963200,2315019
1519966800,2188905
1519970400,2059893
1519974000,2184288
1519977600,2359352
1519981200,2648702
1519984800,2718516
1519988400,2981706
1519992000,3576829
1519995600,4251298
1519999200,4936785
1520002800,4966828
1520006400,4380848
1520010000,3330659
1520013600,2373776
1520017200,1744433
1520020800,1306523
1520024400,1100514
1520028000,1315085
1520031600,2064078
1520035200,2471280
1520038800,2748338
1520042400,2875929
1520046000,2669819
1520049600,2573225
1520053200,2395233
1520056800,2289261
1520060400,2513965
1520064000,2643259
1520067600,2891969
1520071200,3033474
1520074800,3317321
1520078400,4107684
1520082000,5196630
1520085600,5870035
1520089200,5981793
1520092800,5190384
1520096400,3896744
1520100000,2817684
1520103600,2061685
1520107200,1528972
1520110800,1342233
1520114400,1579329
1520118000,2445986
1520121600,2965488
1520125200,3409871
1520128800,3589279
1520132400,3203937
1520136000,2923002
1520139600,2667865
1520143200,2545606
1520146800,2724802
1520150400,2875530
1520154000,3077189
1520157600,3075202
1520161200,3319545
1520164800,4079692
1520168400,4990830
1520172000,5558172
1520175600,5473283
1520179200,4574708
1520182800,3339506
1520186400,2454226
1520190000,1802069
1520193600,1363254
1520197200,1196992
1520200800,1457165
1520204400,2169524
1520208000,2403861
1520211600,2386041
1520215200,2354796
1520218800,2300667
1520222400,2451999
1520226000,2263860
1520229600,2061431
1520233200,2102237
1520236800,2289815
1520240400,2595956
1520244000,2933304
1520247600,3385250
1520251200,4264972
1520254800,5365948
1520258400,5970739
1520262000,5806559
